strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Sour Diesel,Royal Queen Seeds,The world famous Sour Diesel is now available in feminised seed from Royal Queen Seeds. We are proud to add this fine cannabis strain to our selection. This mig...,18.54,20.6,10.0,3 Feminised Seeds (GBP 18.54) | 5 Feminised Seeds (GBP 28.08) | 10 Feminised Seeds (GBP 52.20) | 50 Feminised Seeds (GBP 247.95) | 100 Feminised Seeds (GBP 469.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Sour_Diesel_5696f578dfff9_120x140.jpg,"This is Sour Diesel, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor",Normal,"Appetite Stimulation, Nausea, Anxiety","Chemical, Herbal, Sour","Relaxed, Energetic",Mediterranean,Citrus,21.8%,1.5%,406.0g/m²,523.0g/plant,166.0cm,152.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,64 days,Mid October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Big Bud Auto,Seed Stockers,"Legendary strain with huge buds, easy growth, high yields, strong indica high, and medicinal benefits. Must-have for growers.",15.3,17.0,10.0,3 Feminised Seeds (GBP 15.30) | 5 Feminised Seeds (GBP 22.86) | 25 Feminised Seeds (GBP 79.56) | 125 Feminised Seeds (GBP 377.91) | 250 Feminised Seeds (GBP 716.04),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Big_Bud_Auto_5af9e6c084cb5_120x140.jpg,"This is Big Bud Auto, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,50% Indica / 50% Sativa,50% Indica/50% Sativa,"Indoor, Outdoor, Greenhouse",Super Strength,"Insomnia, Pain Relief",Sweet,"Energetic, Relaxed",Tropical,"Sweet, Citrus, Pine",20.9%,1.0%,581.0g/m²,905.0g/plant,171.0cm,151.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,90 days,Early October,Colombian x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Pineapple Express,FastBuds,"High-potency strain with tropical flavors and warm, giggly effects. FastBuds offers high-yielding, potent seeds for marijuana enthusiasts.",24.12,26.8,10.0,3 Feminised Seeds (GBP 24.12) | 5 Feminised Seeds (GBP 36.18) | 10 Feminised Seeds (GBP 64.26) | 50 Feminised Seeds (GBP 305.24) | 100 Feminised Seeds (GBP 578.34),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Pineapple_Expres_5c069146b95d1_120x140.jpg,"This is Pineapple Express, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,50% Indica/50% Sativa,50% Indica / 50% Sativa,50% Indica/50% Sativa,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Social","Fruity, Pineapple, Sweet","Euphoric, Focused",Temperate,"Earthy, Pine",24.2%,1.9%,514.0g/m²,1052.0g/plant,148.0cm,248.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,60 days,September,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Strawberry Cough,Dutch Passion Seeds,"Potent Sativa seeds with fruity flavor and uplifting effects from Dutch Passion Seeds, known for quality genetics and 20+ years experience.",23.68,29.6,20.0,3 Feminised Seeds (GBP 23.68) | 5 Feminised Seeds (GBP 35.92) | 10 Feminised Seeds (GBP 57.68) | 50 Feminised Seeds (GBP 273.98) | 100 Feminised Seeds (GBP 519.12),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Strawberry_Cough_56a67695445df_120x140.jpg,"This is Strawberry Cough, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,Indoor,Normal,Euphoric,Sweet,Creative,Continental,"Berry, Earthy, Pine",20.4%,1.6%,606.0g/m²,663.0g/plant,125.0cm,174.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of October,67 days,Early October,Afghani x Thai,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
White Runtz,Anesia Seeds,"Popular California strain with sweet, fruity taste and high THC content. Premium seeds at Seed City with discreet worldwide delivery.",31.4,28.08,40.0,3 Feminised Seeds (GBP 31.40) | 5 Feminised Seeds (GBP 47.80) | 10 Feminised Seeds (GBP 93.80) | 50 Feminised Seeds (GBP 445.55) | 100 Feminised Seeds (GBP 844.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/White_Runtz_5e25e763065bf_120x140.jpg,"This is White Runtz, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Appetite Stimulant, Body Stone, Cerebral, Creative, Euphoric, General Pain, Happy, Nausea, Uplifting","Berry, Citrus, Fruity, Pineapple, Sour, Sweet","Creative, Euphoric",Temperate,Earthy,23.0%,1.5%,599.0g/m²,1025.0g/plant,88.0cm,292.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,65 days,October,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
O.G.Kush,Seed Stockers,"Top quality cannabis seeds with rich Kush taste. High yielding, resinous buds. Indica dominant for relaxing effect. THC 22%-24%. Recommended for pain relief.",20.6,28.08,40.0,3 Feminised Seeds (GBP 20.60) | 5 Feminised Seeds (GBP 30.80) | 25 Feminised Seeds (GBP 124.20) | 125 Feminised Seeds (GBP 589.96) | 250 Feminised Seeds (GBP 117.80),https://www.seed-city.com/components/com_virtuemart/shop_image/product/O.G.Kush_5af5b3346b879_120x140.jpg,"OG Kush is a top-tier cannabis strain known for its rich Kush flavor and potent effects, thanks to its west-coast USA OG genetics. It's one of the strongest options available, offering above-average yields, resin-drenched buds, and an indica-dominant high that provides significant pain relief and relaxation. This strain, boasting THC levels consistently between 22%-24%+, is suitable not just for recreational users but for medical growers seeking powerful pain management.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Appetite Stimulation, Anxiety",Sweet,Relaxing,Temperate,Candy Spicy,Medium (14 -22%),0.7%,622.0g/m²,695.0g/plant,138.0cm,194.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,67 days,Early October,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
G13 Haze,Barneys Farm Seeds,"G13 x Hawaiian Sativa: dense, resinous flowers with fruity, spicy flavors. Ideal for SOG and ScrOG gardens.",23.4,28.08,40.0,3 Feminised Seeds (GBP 23.40) | 5 Feminised Seeds (GBP 33.20) | 10 Feminised Seeds (GBP 57.60) | 50 Feminised Seeds (GBP 273.61) | 100 Feminised Seeds (GBP 518.40) | 10 Regular Seeds (GBP 52.80) | 50 Regular Seeds (GBP 250.80) | 100 Regular Seeds (GBP 475.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/G13_Haze_5c0f286e4d895_120x140.jpg,"This is G13 Haze, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor, Greenhouse",Super Strength,"Cerebral, Creative, Uplifting","Citrus, Fruity, Spicy, Sweet","Sleepy, Energetic, Relaxed",Tropical,Pine,22.0%,1.8%,676.0g/m²,885.0g/plant,131.0cm,163.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,76 days,October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
LSD-25,FastBuds,"High-THC strain with psychedelic effects and purple coloring. Easy to grow, forgiving of mistakes, and fast flowering. Indoor/outdoor cultivation.",26.8,28.08,40.0,3 Feminised Seeds (GBP 26.80) | 5 Feminised Seeds (GBP 40.20) | 10 Feminised Seeds (GBP 71.40) | 50 Feminised Seeds (GBP 339.15) | 100 Feminised Seeds (GBP 642.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/LSD_25_5c06912f9b70f_120x140.jpg,"Crossing autoflower genetics with the iconic LSD strain resulted in LSD-25, a high-THC, low-CBD heavy indica-dominant hybrid, celebrated for its trippy effects and vibrant purple hues. It combines the psychedelic experience of the original LSD with added visual appeal, becoming a top contender in Fast Buds' strain selection.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Body Stone, Creative, Insomnia, Psychedelic",Fuel,Focused,Mediterranean,Sweet,High,Low,682.0g/m²,519.0g/plant,85.0cm,182.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,65 days,October,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Gelato,Blackskull Seeds,"Indica dominant with sweet, fruity flavor. Uplifting, euphoric effects. Balanced for pain, fatigue, headaches. High THC.",14.2,28.08,40.0,3 Feminised Seeds (GBP 14.20) | 5 Feminised Seeds (GBP 20.80) | 10 Feminised Seeds (GBP 33.40) | 50 Feminised Seeds (GBP 158.65) | 100 Feminised Seeds (GBP 300.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Gelato_5bf6f563c7967_120x140.jpg,"This is Gelato, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,70% Indica / 30% Sativa,Indica Dominant,"Indoor, Outdoor",Super Strength,"Body Stone, Cerebral, Creative, Euphoric, General Pain, Headaches, Inflammation, Migraine Relief, Spasm Relief, Uplifting","Berry, Citrus, Earthy, Fruity, Orange, Sweet","Cerebral, Couch Lock, Creative, Long-lasting, Physical, Powerful",Continental,"Berry, Spicy",26.7%,1.5%,558.0g/m²,949.0g/plant,153.0cm,274.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,56 – 63 days,early October,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Golden Tiger,Ace Seed bank,"Potent 100% sativa with strong growth, high THC, complex terpenes, and psychedelic effects. Recommended for experienced users in warm climates.",28.4,28.08,40.0,3 Feminised Seeds (GBP 32.50) | 5 Feminised Seeds (GBP 52.80) | 25 Feminised Seeds (GBP 250.80) | 50 Feminised Seeds (GBP 475.20) | 5 Regular Seeds (GBP 28.40) | 10 Regular Seeds (GBP 52.80) | 50 Regular Seeds (GBP 250.80) | 100 Regular Seeds (GBP 475.20),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Golden_Tiger_5584499214980_120x140.jpg,"Golden Tiger is a 100% sativa hybrid born from a combination of potent Malawi and Thai strains, resulting in a highly vigorous plant known for its exceptional potency and flowering characteristics. The strain produces dense buds packed with large trichomes and high levels of cannabinoids, making it a potent alternative to Haze sativas. This version boasts a stronger Thai influence, higher yields, and more refined aromas, containing genetics from Koh Chang Thai, Hmong Thai, Old Malawi Killer, and New Malawi Killer plants.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,Sativa,50% Indica / 50% Sativa,Sativa,"Indoor, Outdoor",Super Strength,Psychedelic,"Citrus, Floral, Lemon, Spicy",Energetic,Continental,Earthy,25-30 %,Up to 0.5 %,437.0g/m²,754.0g/plant,168.0cm,278.0cm,Medium (81cm - 140cm),Long (91 days plus),Middle of November,76 days,October,Afghani x Thai,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
