Database Identifier,Database Name,Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Post Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
analytical360,Analytical 360,,BHO Blackberry 22,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,1.3,,,,,,,,,0.08,,,
analytical360,Analytical 360,,BHO The Sour Bud,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65,1.2,,,,,,,,,0.75,0.34,,
analytical360,Analytical 360,,Northern Lights,Archived,,,2013-08-19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,17.34,0.3,,,,,,,,,0.66,0.05,,
analytical360,Analytical 360,,Blueberry Kush,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,2.14,,,,0.04,,,,,0.25,0.19,,
analytical360,Analytical 360,,White Dawg,Archived,,,2013-08-19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,2.28,,,,,,,,,0.12,0.11,,
analytical360,Analytical 360,,PTW,Archived,,,2013-08-19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12,0.84,,,,,,,,,0.63,,,
analytical360,Analytical 360,,Green Crack,Archived,,,2013-08-19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73,0.17,,,,0.11,,,,,0.25,0.14,,
analytical360,Analytical 360,,Afcrack,Archived,,,2013-08-19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47,0.87,,,,0.35,,,,,0.42,0.06,,
analytical360,Analytical 360,,Super Lemon Haze,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,0.52,,,,0.04,,,,,1.5,,,
analytical360,Analytical 360,,Plushberry,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27,1.9,,,,,,,,,,0.02,,
analytical360,Analytical 360,,Crystal Ice,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65,2.78,,,,,,,,,0.61,0.06,,
analytical360,Analytical 360,,Grape Ape,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,16.59,1.43,,,,0.07,,,,,,0.02,,
analytical360,Analytical 360,,Jack Frost,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,1.51,,,,0.08,,,,,,0.13,,
analytical360,Analytical 360,,White Widow,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,12.31,1.36,,,,0.04,,,,,,0.03,,
analytical360,Analytical 360,,Jack the Ripper,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96,2.41,,,,,,,,,0.62,,,
analytical360,Analytical 360,,Sno Cap,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,17.69,0.83,,,,,,,,,0.25,0.13,,
analytical360,Analytical 360,,Lemon Kush,Archived,,,2013-08-19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,1.22,,,,0.08,,,,,0.49,0.08,,
analytical360,Analytical 360,,OG Kush (Ross),Archived,,,2013-08-19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25,0.88,,,,,,,,,0.3,0.09,,
analytical360,Analytical 360,,Wizard's Waskal,Archived,,,2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,1.89,,,,,,,,,0.46,0.09,,
analytical360,Analytical 360,,BHO White Dog,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.42,5.01,,,,,,,,,,0.4,,
analytical360,Analytical 360,,BHO Fire OG,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,60.36,2.22,,,,,,,,,0.11,0.24,,
analytical360,Analytical 360,,BHO Berry White,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.41,3.22,,,,,,,,,,0.05,,
analytical360,Analytical 360,,BHO Flight,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,57.91,7.83,,,,,,,,,,0.09,,
analytical360,Analytical 360,,BHO Lavender Kush,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98,4.37,,,,,,,,,,,,
analytical360,Analytical 360,,BHO Star Dawg Bx,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,54.61,7.36,,,,,,,,,,,,
analytical360,Analytical 360,,BHO Fire Alien N-Butane,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19,10.32,,,,,,,,,0.09,0.12,,
analytical360,Analytical 360,,BHO Chemdawg 4 N-Butane,Archived,,,2013-08-20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,57.56,5.37,,,,,,,,,,0.04,,
